"Cbz-TBT-1_500 - RawData"
"Wavelength nm."	"Abs."
300,00	0,43575
301,00	0,43001
302,00	0,42845
303,00	0,43011
304,00	0,43410
305,00	0,44165
306,00	0,44437
307,00	0,44948
308,00	0,45392
309,00	0,45804
310,00	0,46327
311,00	0,46696
312,00	0,47169
313,00	0,47881
314,00	0,48643
315,00	0,49297
316,00	0,50070
317,00	0,50835
318,00	0,51653
319,00	0,52643
320,00	0,53540
321,00	0,54376
322,00	0,55318
323,00	0,56165
324,00	0,57063
325,00	0,57982
326,00	0,58977
327,00	0,60075
328,00	0,61096
329,00	0,62149
330,00	0,63182
331,00	0,64215
332,00	0,65259
333,00	0,66315
334,00	0,67287
335,00	0,67972
336,00	0,68570
337,00	0,69136
338,00	0,69585
339,00	0,70132
340,00	0,70520
341,00	0,70857
342,00	0,71465
343,00	0,72131
344,00	0,72850
345,00	0,73576
346,00	0,74251
347,00	0,75031
348,00	0,75780
349,00	0,76462
350,00	0,77216
351,00	0,77716
352,00	0,78285
353,00	0,78880
354,00	0,79321
355,00	0,79613
356,00	0,79906
357,00	0,79939
358,00	0,79980
359,00	0,79834
360,00	0,79478
361,00	0,79193
362,00	0,78717
363,00	0,78119
364,00	0,77109
365,00	0,76353
366,00	0,75522
367,00	0,74619
368,00	0,73604
369,00	0,72380
370,00	0,71255
371,00	0,69978
372,00	0,68694
373,00	0,67287
374,00	0,66016
375,00	0,64531
376,00	0,62926
377,00	0,61157
378,00	0,59265
379,00	0,57246
380,00	0,55006
381,00	0,52702
382,00	0,50311
383,00	0,47710
384,00	0,45016
385,00	0,42244
386,00	0,39522
387,00	0,36769
388,00	0,34288
389,00	0,31743
390,00	0,29482
391,00	0,27249
392,00	0,25235
393,00	0,23196
394,00	0,21455
395,00	0,19940
396,00	0,18602
397,00	0,17476
398,00	0,16479
399,00	0,15662
400,00	0,14963
401,00	0,14462
402,00	0,13971
403,00	0,13667
404,00	0,13431
405,00	0,13235
406,00	0,13127
407,00	0,13104
408,00	0,13054
409,00	0,13116
410,00	0,13211
411,00	0,13364
412,00	0,13541
413,00	0,13792
414,00	0,14056
415,00	0,14357
416,00	0,14635
417,00	0,15024
418,00	0,15433
419,00	0,15833
420,00	0,16310
421,00	0,16818
422,00	0,17307
423,00	0,17825
424,00	0,18359
425,00	0,18896
426,00	0,19453
427,00	0,20003
428,00	0,20595
429,00	0,21246
430,00	0,21872
431,00	0,22528
432,00	0,23209
433,00	0,23895
434,00	0,24576
435,00	0,25284
436,00	0,25969
437,00	0,26746
438,00	0,27507
439,00	0,28246
440,00	0,29007
441,00	0,29726
442,00	0,30499
443,00	0,31317
444,00	0,32100
445,00	0,32945
446,00	0,33755
447,00	0,34615
448,00	0,35439
449,00	0,36261
450,00	0,37137
451,00	0,38002
452,00	0,38864
453,00	0,39732
454,00	0,40601
455,00	0,41455
456,00	0,42299
457,00	0,43135
458,00	0,43964
459,00	0,44771
460,00	0,45547
461,00	0,46347
462,00	0,47098
463,00	0,47838
464,00	0,48540
465,00	0,49278
466,00	0,50032
467,00	0,50708
468,00	0,51387
469,00	0,52055
470,00	0,52621
471,00	0,53261
472,00	0,53902
473,00	0,54475
474,00	0,55067
475,00	0,55577
476,00	0,56084
477,00	0,56528
478,00	0,57056
479,00	0,57480
480,00	0,57867
481,00	0,58272
482,00	0,58617
483,00	0,58926
484,00	0,59233
485,00	0,59496
486,00	0,59773
487,00	0,60014
488,00	0,60173
489,00	0,60304
490,00	0,60376
491,00	0,60382
492,00	0,60374
493,00	0,60390
494,00	0,60364
495,00	0,60233
496,00	0,60071
497,00	0,59906
498,00	0,59680
499,00	0,59483
500,00	0,59215
501,00	0,58926
502,00	0,58626
503,00	0,58307
504,00	0,57918
505,00	0,57524
506,00	0,57077
507,00	0,56657
508,00	0,56184
509,00	0,55641
510,00	0,55147
511,00	0,54610
512,00	0,53999
513,00	0,53377
514,00	0,52719
515,00	0,52028
516,00	0,51285
517,00	0,50555
518,00	0,49751
519,00	0,48927
520,00	0,48051
521,00	0,47179
522,00	0,46245
523,00	0,45313
524,00	0,44319
525,00	0,43295
526,00	0,42268
527,00	0,41202
528,00	0,40164
529,00	0,39111
530,00	0,38077
531,00	0,37003
532,00	0,35957
533,00	0,34909
534,00	0,33864
535,00	0,32838
536,00	0,31831
537,00	0,30681
538,00	0,29610
539,00	0,28514
540,00	0,27417
541,00	0,26302
542,00	0,25211
543,00	0,24165
544,00	0,23152
545,00	0,22151
546,00	0,21138
547,00	0,20197
548,00	0,19179
549,00	0,18208
550,00	0,17285
551,00	0,16345
552,00	0,15436
553,00	0,14584
554,00	0,13770
555,00	0,12970
556,00	0,12178
557,00	0,11365
558,00	0,10677
559,00	0,09969
560,00	0,09340
561,00	0,08672
562,00	0,08026
563,00	0,07426
564,00	0,06920
565,00	0,06416
566,00	0,05937
567,00	0,05475
568,00	0,05075
569,00	0,04655
570,00	0,04291
571,00	0,03935
572,00	0,03638
573,00	0,03334
574,00	0,03043
575,00	0,02763
576,00	0,02545
577,00	0,02330
578,00	0,02136
579,00	0,01909
580,00	0,01738
581,00	0,01595
582,00	0,01434
583,00	0,01274
584,00	0,01154
585,00	0,01010
586,00	0,00870
587,00	0,00761
588,00	0,00655
589,00	0,00598
590,00	0,00528
591,00	0,00444
592,00	0,00339
593,00	0,00294
594,00	0,00253
595,00	0,00195
596,00	0,00154
597,00	0,00101
598,00	0,00064
599,00	0,00021
600,00	-0,00005
601,00	-0,00029
602,00	-0,00041
603,00	-0,00061
604,00	-0,00101
605,00	-0,00111
606,00	-0,00172
607,00	-0,00166
608,00	-0,00174
609,00	-0,00185
610,00	-0,00195
611,00	-0,00220
612,00	-0,00220
613,00	-0,00237
614,00	-0,00246
615,00	-0,00256
616,00	-0,00247
617,00	-0,00249
618,00	-0,00262
619,00	-0,00272
620,00	-0,00249
621,00	-0,00269
622,00	-0,00273
623,00	-0,00284
624,00	-0,00278
625,00	-0,00273
626,00	-0,00275
627,00	-0,00281
628,00	-0,00281
629,00	-0,00282
630,00	-0,00267
631,00	-0,00252
632,00	-0,00281
633,00	-0,00272
634,00	-0,00259
635,00	-0,00264
636,00	-0,00247
637,00	-0,00267
638,00	-0,00267
639,00	-0,00281
640,00	-0,00290
641,00	-0,00281
642,00	-0,00250
643,00	-0,00252
644,00	-0,00255
645,00	-0,00256
646,00	-0,00249
647,00	-0,00240
648,00	-0,00237
649,00	-0,00252
650,00	-0,00256
651,00	-0,00252
652,00	-0,00238
653,00	-0,00201
654,00	-0,00218
655,00	-0,00240
656,00	-0,00237
657,00	-0,00230
658,00	-0,00191
659,00	-0,00211
660,00	-0,00229
661,00	-0,00224
662,00	-0,00209
663,00	-0,00185
664,00	-0,00191
665,00	-0,00211
666,00	-0,00195
667,00	-0,00203
668,00	-0,00204
669,00	-0,00185
670,00	-0,00197
671,00	-0,00183
672,00	-0,00195
673,00	-0,00185
674,00	-0,00169
675,00	-0,00179
676,00	-0,00194
677,00	-0,00192
678,00	-0,00168
679,00	-0,00166
680,00	-0,00153
681,00	-0,00160
682,00	-0,00175
683,00	-0,00195
684,00	-0,00166
685,00	-0,00116
686,00	-0,00156
687,00	-0,00139
688,00	-0,00139
689,00	-0,00134
690,00	-0,00146
691,00	-0,00110
692,00	-0,00143
693,00	-0,00137
694,00	-0,00095
695,00	-0,00085
696,00	-0,00061
697,00	-0,00050
698,00	-0,00020
699,00	-0,00021
700,00	-0,00003
701,00	0,00052
702,00	0,00041
703,00	0,00084
704,00	0,00157
705,00	0,00145
706,00	0,00148
707,00	0,00166
708,00	0,00148
709,00	0,00146
710,00	0,00105
711,00	0,00067
712,00	0,00015
713,00	0,00020
714,00	-0,00008
715,00	-0,00060
716,00	-0,00060
717,00	-0,00056
718,00	-0,00102
719,00	-0,00060
720,00	-0,00061
721,00	-0,00085
722,00	-0,00104
723,00	-0,00107
724,00	-0,00072
725,00	-0,00060
726,00	-0,00069
727,00	-0,00093
728,00	-0,00096
729,00	-0,00085
730,00	-0,00070
731,00	-0,00066
732,00	-0,00056
733,00	-0,00044
734,00	-0,00056
735,00	-0,00072
736,00	-0,00084
737,00	-0,00070
738,00	-0,00067
739,00	-0,00038
740,00	-0,00044
741,00	-0,00070
742,00	-0,00069
743,00	-0,00049
744,00	-0,00047
745,00	-0,00084
746,00	-0,00069
747,00	-0,00026
748,00	-0,00032
749,00	-0,00058
750,00	-0,00069
751,00	-0,00053
752,00	-0,00053
753,00	-0,00044
754,00	-0,00066
755,00	-0,00084
756,00	-0,00056
757,00	-0,00034
758,00	-0,00040
759,00	-0,00044
760,00	-0,00043
761,00	0,00015
762,00	0,00023
763,00	0,00005
764,00	-0,00056
765,00	-0,00023
766,00	-0,00032
767,00	-0,00024
768,00	-0,00029
769,00	-0,00017
770,00	0,00021
771,00	0,00018
772,00	-0,00015
773,00	-0,00003
774,00	0,00003
775,00	0,00003
776,00	-0,00011
777,00	0,00005
778,00	0,00020
779,00	-0,00026
780,00	-0,00008
781,00	-0,00006
782,00	0,00011
783,00	0,00020
784,00	0,00015
785,00	0,00024
786,00	0,00043
787,00	0,00024
788,00	0,00011
789,00	0,00021
790,00	0,00000
791,00	0,00000
792,00	-0,00017
793,00	0,00038
794,00	0,00046
795,00	0,00009
796,00	0,00023
797,00	0,00041
798,00	0,00005
799,00	0,00020
800,00	0,00027
