"Storage 164916 - FL460B.spc"
"Wavelength nm."	"Abs."
190,000	1,04198
191,000	1,04411
192,000	1,04301
193,000	1,03604
194,000	1,02592
195,000	1,01970
196,000	1,02153
197,000	1,02408
198,000	1,03575
199,000	1,05318
200,000	1,07045
201,000	1,09154
202,000	1,10985
203,000	1,13242
204,000	1,15269
205,000	1,17545
206,000	1,18918
207,000	1,20949
208,000	1,22267
209,000	1,23468
210,000	1,25069
211,000	1,26384
212,000	1,27670
213,000	1,28702
214,000	1,29614
215,000	1,30548
216,000	1,31284
217,000	1,32283
218,000	1,32594
219,000	1,32806
220,000	1,33713
221,000	1,34108
222,000	1,34387
223,000	1,34875
224,000	1,35268
225,000	1,36012
226,000	1,36691
227,000	1,37335
228,000	1,37682
229,000	1,38260
230,000	1,39041
231,000	1,39784
232,000	1,40422
233,000	1,40811
234,000	1,41446
235,000	1,42195
236,000	1,42618
237,000	1,42973
238,000	1,43657
239,000	1,43983
240,000	1,44496
241,000	1,44681
242,000	1,44810
243,000	1,45332
244,000	1,45576
245,000	1,45860
246,000	1,45973
247,000	1,46106
248,000	1,46220
249,000	1,46375
250,000	1,46240
251,000	1,46471
252,000	1,46815
253,000	1,46835
254,000	1,46913
255,000	1,47223
256,000	1,47127
257,000	1,47145
258,000	1,47067
259,000	1,47127
260,000	1,47282
261,000	1,47438
262,000	1,47574
263,000	1,47615
264,000	1,47595
265,000	1,47574
266,000	1,47595
267,000	1,47830
268,000	1,47929
269,000	1,48067
270,000	1,48029
271,000	1,48009
272,000	1,48187
273,000	1,48047
274,000	1,48108
275,000	1,48146
276,000	1,48029
277,000	1,48207
278,000	1,48306
279,000	1,48364
280,000	1,48625
281,000	1,48724
282,000	1,48566
283,000	1,48505
284,000	1,48886
285,000	1,48907
286,000	1,48705
287,000	1,49332
288,000	1,49371
289,000	1,49127
290,000	1,43315
291,000	1,42920
292,000	1,42371
293,000	1,37366
294,000	1,23009
295,000	1,02733
296,000	0,85426
297,000	0,73260
298,000	0,65007
299,000	0,60286
300,000	0,57634
301,000	0,56114
302,000	0,55318
303,000	0,54860
304,000	0,54584
305,000	0,54637
306,000	0,53522
307,000	0,53728
308,000	0,53761
309,000	0,54036
310,000	0,54373
311,000	0,54691
312,000	0,55193
313,000	0,55484
314,000	0,56061
315,000	0,56551
316,000	0,57077
317,000	0,57669
318,000	0,58479
319,000	0,59271
320,000	0,60123
321,000	0,61319
322,000	0,62460
323,000	0,63582
324,000	0,64940
325,000	0,66342
326,000	0,68027
327,000	0,69720
328,000	0,71410
329,000	0,73201
330,000	0,74881
331,000	0,76787
332,000	0,78613
333,000	0,80685
334,000	0,82655
335,000	0,84496
336,000	0,86417
337,000	0,88118
338,000	0,89778
339,000	0,91553
340,000	0,93066
341,000	0,94836
342,000	0,96367
343,000	0,97896
344,000	0,99374
345,000	1,00914
346,000	1,02351
347,000	1,03764
348,000	1,05167
349,000	1,06544
350,000	1,07654
351,000	1,08727
352,000	1,09860
353,000	1,10899
354,000	1,11920
355,000	1,12920
356,000	1,13983
357,000	1,15009
358,000	1,15979
359,000	1,16814
360,000	1,17496
361,000	1,18169
362,000	1,18918
363,000	1,19456
364,000	1,18948
365,000	1,19333
366,000	1,19672
367,000	1,20000
368,000	1,20268
369,000	1,20413
370,000	1,20413
371,000	1,20238
372,000	1,20091
373,000	1,19753
374,000	1,19415
375,000	1,18938
376,000	1,18396
377,000	1,17671
378,000	1,16745
379,000	1,15742
380,000	1,14610
381,000	1,13412
382,000	1,12024
383,000	1,10645
384,000	1,08875
385,000	1,07108
386,000	1,05174
387,000	1,03192
388,000	1,01228
389,000	0,98996
390,000	0,96570
391,000	0,94014
392,000	0,91290
393,000	0,88397
394,000	0,85515
395,000	0,82228
396,000	0,78749
397,000	0,75186
398,000	0,71469
399,000	0,67839
400,000	0,63979
401,000	0,60283
402,000	0,56465
403,000	0,52798
404,000	0,49376
405,000	0,45757
406,000	0,42307
407,000	0,38960
408,000	0,35748
409,000	0,32901
410,000	0,30304
411,000	0,28041
412,000	0,25966
413,000	0,24202
414,000	0,22594
415,000	0,21202
416,000	0,20094
417,000	0,19040
418,000	0,18230
419,000	0,17628
420,000	0,17162
421,000	0,16806
422,000	0,16602
423,000	0,16495
424,000	0,16478
425,000	0,16478
426,000	0,16570
427,000	0,16724
428,000	0,16911
429,000	0,17145
430,000	0,17407
431,000	0,17711
432,000	0,18022
433,000	0,18433
434,000	0,18839
435,000	0,19301
436,000	0,19804
437,000	0,20384
438,000	0,20911
439,000	0,21515
440,000	0,22125
441,000	0,22737
442,000	0,23384
443,000	0,24077
444,000	0,24846
445,000	0,25616
446,000	0,26419
447,000	0,27249
448,000	0,28094
449,000	0,28935
450,000	0,29857
451,000	0,30794
452,000	0,31760
453,000	0,32753
454,000	0,33737
455,000	0,34807
456,000	0,35841
457,000	0,36964
458,000	0,38065
459,000	0,39154
460,000	0,40236
461,000	0,41301
462,000	0,42451
463,000	0,43575
464,000	0,44691
465,000	0,45886
466,000	0,47112
467,000	0,48257
468,000	0,49437
469,000	0,50650
470,000	0,51801
471,000	0,53003
472,000	0,54181
473,000	0,55402
474,000	0,56503
475,000	0,57602
476,000	0,58765
477,000	0,59898
478,000	0,61121
479,000	0,62311
480,000	0,63518
481,000	0,64626
482,000	0,65804
483,000	0,66963
484,000	0,68057
485,000	0,69211
486,000	0,70425
487,000	0,71613
488,000	0,72719
489,000	0,73831
490,000	0,74933
491,000	0,76013
492,000	0,77109
493,000	0,78204
494,000	0,79082
495,000	0,79951
496,000	0,80881
497,000	0,81729
498,000	0,82556
499,000	0,83368
500,000	0,84145
501,000	0,84933
502,000	0,85591
503,000	0,86263
504,000	0,86954
505,000	0,87578
506,000	0,88153
507,000	0,88684
508,000	0,89169
509,000	0,89644
510,000	0,90067
511,000	0,90526
512,000	0,90944
513,000	0,91270
514,000	0,91547
515,000	0,91829
516,000	0,92094
517,000	0,92319
518,000	0,92485
519,000	0,92572
520,000	0,92715
521,000	0,92760
522,000	0,92821
523,000	0,92804
524,000	0,92732
525,000	0,92612
526,000	0,92557
527,000	0,92413
528,000	0,92236
529,000	0,92001
530,000	0,91714
531,000	0,91435
532,000	0,91087
533,000	0,90718
534,000	0,90410
535,000	0,90030
536,000	0,90228
537,000	0,89726
538,000	0,89235
539,000	0,88588
540,000	0,87961
541,000	0,87265
542,000	0,86580
543,000	0,85852
544,000	0,85133
545,000	0,84334
546,000	0,83585
547,000	0,82695
548,000	0,81812
549,000	0,80795
550,000	0,79791
551,000	0,78761
552,000	0,77658
553,000	0,76517
554,000	0,75322
555,000	0,74112
556,000	0,72871
557,000	0,71472
558,000	0,70068
559,000	0,68675
560,000	0,67253
561,000	0,65796
562,000	0,64235
563,000	0,62642
564,000	0,61084
565,000	0,59486
566,000	0,57967
567,000	0,56427
568,000	0,54802
569,000	0,53119
570,000	0,51456
571,000	0,49831
572,000	0,48227
573,000	0,46590
574,000	0,44945
575,000	0,43343
576,000	0,41702
577,000	0,40161
578,000	0,38522
579,000	0,37054
580,000	0,35545
581,000	0,34096
582,000	0,32651
583,000	0,31218
584,000	0,29741
585,000	0,28374
586,000	0,26950
587,000	0,25636
588,000	0,24323
589,000	0,23056
590,000	0,21739
591,000	0,20502
592,000	0,19304
593,000	0,18155
594,000	0,17015
595,000	0,15930
596,000	0,14925
597,000	0,13907
598,000	0,12946
599,000	0,12061
600,000	0,11270
601,000	0,10466
602,000	0,09749
603,000	0,09027
604,000	0,08362
605,000	0,07719
606,000	0,07147
607,000	0,06569
608,000	0,06021
609,000	0,05519
610,000	0,05043
611,000	0,04591
612,000	0,04228
613,000	0,03874
614,000	0,03526
615,000	0,03175
616,000	0,02882
617,000	0,02568
618,000	0,02296
619,000	0,02042
620,000	0,01791
621,000	0,01559
622,000	0,01343
623,000	0,01149
624,000	0,00960
625,000	0,00787
626,000	0,00668
627,000	0,00552
628,000	0,00388
629,000	0,00256
630,000	0,00163
631,000	0,00075
632,000	-0,00032
633,000	-0,00113
634,000	-0,00192
635,000	-0,00264
636,000	-0,00322
637,000	-0,00354
638,000	-0,00403
639,000	-0,00475
640,000	-0,00528
641,000	-0,00555
642,000	-0,00601
643,000	-0,00636
644,000	-0,00690
645,000	-0,00671
646,000	-0,00677
647,000	-0,00700
648,000	-0,00734
649,000	-0,00728
650,000	-0,00743
651,000	-0,00749
652,000	-0,00761
653,000	-0,00781
654,000	-0,00775
655,000	-0,00781
656,000	-0,00793
657,000	-0,00795
658,000	-0,00824
659,000	-0,00842
660,000	-0,00827
661,000	-0,00833
662,000	-0,00818
663,000	-0,00830
664,000	-0,00850
665,000	-0,00827
666,000	-0,00862
667,000	-0,00879
668,000	-0,00885
669,000	-0,00870
670,000	-0,00842
671,000	-0,00856
672,000	-0,00844
673,000	-0,00833
674,000	-0,00853
675,000	-0,00851
676,000	-0,00836
677,000	-0,00853
678,000	-0,00832
679,000	-0,00845
680,000	-0,00851
681,000	-0,00822
682,000	-0,00816
683,000	-0,00835
684,000	-0,00832
685,000	-0,00836
686,000	-0,00809
687,000	-0,00803
688,000	-0,00836
689,000	-0,00809
690,000	-0,00803
691,000	-0,00815
692,000	-0,00812
693,000	-0,00795
694,000	-0,00740
695,000	-0,00743
696,000	-0,00725
697,000	-0,00717
698,000	-0,00700
699,000	-0,00697
700,000	-0,00717
701,000	-0,00652
702,000	-0,00601
703,000	-0,00574
704,000	-0,00529
705,000	-0,00500
706,000	-0,00507
707,000	-0,00497
708,000	-0,00507
709,000	-0,00552
710,000	-0,00562
711,000	-0,00600
712,000	-0,00629
713,000	-0,00673
714,000	-0,00708
715,000	-0,00705
716,000	-0,00685
717,000	-0,00723
718,000	-0,00713
719,000	-0,00719
720,000	-0,00708
721,000	-0,00706
722,000	-0,00700
723,000	-0,00690
724,000	-0,00670
725,000	-0,00670
726,000	-0,00668
727,000	-0,00655
728,000	-0,00681
729,000	-0,00682
730,000	-0,00662
731,000	-0,00632
732,000	-0,00652
733,000	-0,00670
734,000	-0,00627
735,000	-0,00623
736,000	-0,00604
737,000	-0,00659
738,000	-0,00645
739,000	-0,00618
740,000	-0,00624
741,000	-0,00627
742,000	-0,00595
743,000	-0,00587
744,000	-0,00563
745,000	-0,00551
746,000	-0,00517
747,000	-0,00523
748,000	-0,00560
749,000	-0,00543
750,000	-0,00510
751,000	-0,00508
752,000	-0,00508
753,000	-0,00507
754,000	-0,00525
755,000	-0,00519
756,000	-0,00502
757,000	-0,00455
758,000	-0,00482
