"ba37-FL210-1_500 - RawData"
"Wavelength nm."	"Abs."
200,00	4,33992
201,00	4,81738
202,00	4,51630
203,00	4,51630
204,00	4,51630
205,00	4,33992
206,00	4,33992
207,00	4,21521
208,00	4,81738
209,00	4,81738
210,00	5,00000
211,00	4,81738
212,00	4,51630
213,00	5,00000
214,00	5,00000
215,00	4,51630
216,00	5,00000
217,00	5,00000
218,00	4,81738
219,00	5,00000
220,00	5,00000
221,00	4,81738
222,00	4,51630
223,00	5,00000
224,00	5,00000
225,00	4,33992
226,00	5,00000
227,00	5,00000
228,00	4,51630
229,00	5,00000
230,00	5,00000
231,00	5,00000
232,00	5,00000
233,00	5,00000
234,00	4,81738
235,00	5,00000
236,00	5,00000
237,00	4,81738
238,00	5,00000
239,00	5,00000
240,00	4,81738
241,00	5,00000
242,00	5,00000
243,00	4,81738
244,00	5,00000
245,00	5,00000
246,00	4,81738
247,00	5,00000
248,00	5,00000
249,00	4,81738
250,00	5,00000
251,00	5,00000
252,00	5,00000
253,00	5,00000
254,00	5,00000
255,00	5,00000
256,00	5,00000
257,00	5,00000
258,00	4,51630
259,00	5,00000
260,00	5,00000
261,00	4,81738
262,00	4,81738
263,00	5,00000
264,00	5,00000
265,00	4,51630
266,00	5,00000
267,00	5,00000
268,00	4,81738
269,00	4,51630
270,00	4,51630
271,00	4,51630
272,00	4,21521
273,00	4,51630
274,00	4,51630
275,00	4,81738
276,00	4,81738
277,00	4,81738
278,00	4,11874
279,00	4,21521
280,00	4,11874
281,00	4,11874
282,00	4,03883
283,00	4,03883
284,00	3,97156
285,00	4,03883
286,00	3,97156
287,00	3,97156
288,00	3,77592
289,00	3,67047
290,00	2,32890
291,00	2,34328
292,00	2,14706
293,00	1,67145
294,00	1,18686
295,00	0,84427
296,00	0,63187
297,00	0,49844
298,00	0,41441
299,00	0,36621
300,00	0,33318
301,00	0,31282
302,00	0,29922
303,00	0,29189
304,00	0,28911
305,00	0,31293
306,00	0,27780
307,00	0,27776
308,00	0,27745
309,00	0,27591
310,00	0,27298
311,00	0,27151
312,00	0,27090
313,00	0,26985
314,00	0,26945
315,00	0,27011
316,00	0,27037
317,00	0,26791
318,00	0,26814
319,00	0,26917
320,00	0,26863
321,00	0,26813
322,00	0,26665
323,00	0,26907
324,00	0,26904
325,00	0,26796
326,00	0,26851
327,00	0,27013
328,00	0,27036
329,00	0,27071
330,00	0,27190
331,00	0,27370
