"ba62_verd - RawData"
"Wavelength nm."	"Abs."
300,00	1,33772
301,00	1,36012
302,00	1,37715
303,00	1,38925
304,00	1,39766
305,00	1,41119
306,00	1,41412
307,00	1,41516
308,00	1,42020
309,00	1,41949
310,00	1,41985
311,00	1,42247
312,00	1,42195
313,00	1,42091
314,00	1,42195
315,00	1,41777
316,00	1,41292
317,00	1,40880
318,00	1,40237
319,00	1,39749
320,00	1,38680
321,00	1,37842
322,00	1,36957
323,00	1,36026
324,00	1,34998
325,00	1,34314
326,00	1,33322
327,00	1,32101
328,00	1,30791
329,00	1,29051
330,00	1,26518
331,00	1,23085
332,00	1,18156
333,00	1,11484
334,00	1,02577
335,00	0,92435
336,00	0,81294
337,00	0,69344
338,00	0,58704
339,00	0,48730
340,00	0,40727
341,00	0,34007
342,00	0,28424
343,00	0,23909
344,00	0,20488
345,00	0,17674
346,00	0,15596
347,00	0,13954
348,00	0,12691
349,00	0,11719
350,00	0,11055
351,00	0,10480
352,00	0,09985
353,00	0,09645
354,00	0,09328
355,00	0,09093
356,00	0,08925
357,00	0,08888
358,00	0,08873
359,00	0,08913
360,00	0,08949
361,00	0,09087
362,00	0,09296
363,00	0,09494
364,00	0,09801
365,00	0,10051
366,00	0,10367
367,00	0,10693
368,00	0,11101
369,00	0,11511
370,00	0,12025
371,00	0,12546
372,00	0,13107
373,00	0,13817
374,00	0,14430
375,00	0,15047
376,00	0,15742
377,00	0,16516
378,00	0,17375
379,00	0,18292
380,00	0,19171
381,00	0,20128
382,00	0,21158
383,00	0,22273
384,00	0,23335
385,00	0,24519
386,00	0,25732
387,00	0,26910
388,00	0,28108
389,00	0,29420
390,00	0,30757
391,00	0,32101
392,00	0,33513
393,00	0,35097
394,00	0,36568
395,00	0,38118
396,00	0,39796
397,00	0,41388
398,00	0,43042
399,00	0,44621
400,00	0,46370
401,00	0,48010
402,00	0,49736
403,00	0,51341
404,00	0,53053
405,00	0,54791
406,00	0,56654
407,00	0,58479
408,00	0,60231
409,00	0,62128
410,00	0,63921
411,00	0,65669
412,00	0,67538
413,00	0,69496
414,00	0,71300
415,00	0,73093
416,00	0,74629
417,00	0,76489
418,00	0,78313
419,00	0,80090
420,00	0,81868
421,00	0,83665
422,00	0,85359
423,00	0,86963
424,00	0,88432
425,00	0,89870
426,00	0,91360
427,00	0,92770
428,00	0,94180
429,00	0,95578
430,00	0,96864
431,00	0,98145
432,00	0,99374
433,00	1,00520
434,00	1,01714
435,00	1,02797
436,00	1,03809
437,00	1,04807
438,00	1,05780
439,00	1,06653
440,00	1,07440
441,00	1,08151
442,00	1,08899
443,00	1,09526
444,00	1,10152
445,00	1,10703
446,00	1,11157
447,00	1,11650
448,00	1,12042
449,00	1,12299
450,00	1,12485
451,00	1,12758
452,00	1,12901
453,00	1,12991
454,00	1,12991
455,00	1,12955
456,00	1,12794
457,00	1,12607
458,00	1,12343
459,00	1,12009
460,00	1,11633
461,00	1,11259
462,00	1,10881
463,00	1,10287
464,00	1,09717
465,00	1,08997
466,00	1,08296
467,00	1,07512
468,00	1,06622
469,00	1,05698
470,00	1,04776
471,00	1,03691
472,00	1,02562
473,00	1,01366
474,00	1,00096
475,00	0,98819
476,00	0,97531
477,00	0,96014
478,00	0,94464
479,00	0,92810
480,00	0,91061
481,00	0,89362
482,00	0,87560
483,00	0,85724
484,00	0,83794
